id;first_name;last_name;email;phone_number;balance
1;Adrian;Metz;Jeremy.Reichert31@gmail.com;84031;37410
2;Carter;Bruen;Montana58@gmail.com;94221;20914
3;Savannah;McCullough;Lauriane56@gmail.com;75096;59651
4;Priscilla;Kuhlman;Celia84@yahoo.com;17131;10402
5;Libbie;Koss;Vilma48@yahoo.com;30949;91988
6;Eden;Rath;Zachery55@gmail.com;8668;28265
7;Pansy;Leffler;Audrey.Toy78@hotmail.com;73921;21759
8;Ian;Reilly;Delaney_Sauer@hotmail.com;56630;91144
9;Nathanael;Shields;Brian9@hotmail.com;13584;48515
10;Providenci;Mitchell;Constance.Klocko70@gmail.com;64121;72524
